source,target,value,color
0,4,1,#D451F5
0,5,1,#D451F5
0,6,1,#D451F5
0,7,1,#D451F5
0,8,1,#D451F5
0,11,1,#D451F5
0,14,1,#D451F5
0,16,1,#D451F5
0,23,1,#D451F5
0,25,1,#D451F5
1,4,1,#870de0
1,5,1,#870de0
1,6,1,#870de0
1,7,1,#870de0
1,9,1,#870de0
1,10,1,#870de0
1,11,1,#870de0
1,13,1,#870de0
1,15,1,#870de0
1,20,1,#870de0
2,4,1,#E79FF9
2,5,1,#E79FF9
2,6,1,#E79FF9
2,8,1,#E79FF9
2,9,1,#E79FF9
2,10,1,#E79FF9
2,18,1,#E79FF9
2,19,1,#E79FF9
2,21,1,#E79FF9
2,22,1,#E79FF9
3,4,1,#d60de0
3,5,1,#d60de0
3,6,1,#d60de0
3,7,1,#d60de0
3,8,1,#d60de0
3,9,1,#d60de0
3,11,1,#d60de0
3,12,1,#d60de0
3,17,1,#d60de0
3,24,1,#d60de0