,Category,Subject,Link
0,Accounting,"""Business Research Center""",https://guides.lib.utexas.edu/BRC
1,Accounting,Accounting & Tax Research (ACC),https://guides.lib.utexas.edu/ACC
2,Advertising,Advertising and Public Relations,https://guides.lib.utexas.edu/ADVPR
3,Aerospace Engineering,Aerospace Engineering,https://guides.lib.utexas.edu/aerospace
4,African American Studies,African and African American Studies,https://guides.lib.utexas.edu/AAAS
5,African American Studies,Black Queer Studies Collection,https://guides.lib.utexas.edu/bqsc
6,African and African Diaspora Studies,AFR 317E: Afro-Brazilian Diaspora - Afolabi,https://guides.lib.utexas.edu/c.php?g=730546
7,African and African Diaspora Studies,African and African American Studies,https://guides.lib.utexas.edu/AAAS
8,African and African Diaspora Studies,Black Queer Studies Collection,https://guides.lib.utexas.edu/bqsc
9,African and African Diaspora Studies,"Visual Resources Collection, Fine Arts Library",https://guides.lib.utexas.edu/c.php?g=518591
10,Alternative Medicine,Medicine,https://guides.lib.utexas.edu/medicine
11,American Studies,American Studies,https://guides.lib.utexas.edu/c.php?g=531304
12,American Studies,Disability Studies,https://guides.lib.utexas.edu/disabilitystudies
13,Anthropology,Anthropology,https://guides.lib.utexas.edu/anthropology
14,Arabic,Middle Eastern Studies,https://guides.lib.utexas.edu/mes
15,Archaeology,Archaeology,https://guides.lib.utexas.edu/archaeology
16,Archaeology,Classics,https://guides.lib.utexas.edu/classics
17,Archaeology,Classics Library News,https://guides.lib.utexas.edu/ClassicsLibraryNews
18,Archaeology,Greek and Roman Archaeology,https://guides.lib.utexas.edu/greekroman_arch
19,Architectural History,Architectural History,https://guides.lib.utexas.edu/arch_history
20,Architectural History,ARTstor,https://guides.lib.utexas.edu/artstor
21,Architectural History,Digital Scholarship and the School of Architecture,https://guides.lib.utexas.edu/DS_SOA
22,Architectural History,Texas Architects and Architecture,https://guides.lib.utexas.edu/texas_arch
23,Architecture,Architecture,https://guides.lib.utexas.edu/architecture
24,Architecture,ARTstor,https://guides.lib.utexas.edu/artstor
25,Architecture,Digital Scholarship and the School of Architecture,https://guides.lib.utexas.edu/DS_SOA
26,Architecture,Texas Architects and Architecture,https://guides.lib.utexas.edu/texas_arch
27,Architecture,"Visual Resources Collection, Fine Arts Library",https://guides.lib.utexas.edu/c.php?g=518591
28,Architecture and Planning,ARC 308 - Architecture and Society - Speck,https://guides.lib.utexas.edu/ARC_308
29,Architecture and Planning,Architectural History,https://guides.lib.utexas.edu/arch_history
30,Architecture and Planning,Architecture,https://guides.lib.utexas.edu/architecture
31,Architecture and Planning,ARTstor,https://guides.lib.utexas.edu/artstor
32,Architecture and Planning,Community and Regional Planning,https://guides.lib.utexas.edu/crp
33,Architecture and Planning,Digital Scholarship and the School of Architecture,https://guides.lib.utexas.edu/DS_SOA
34,Architecture and Planning,Historic Preservation,https://guides.lib.utexas.edu/historicpreservation
35,Architecture and Planning,Interior Design,https://guides.lib.utexas.edu/interior_design
36,Architecture and Planning,Landscape Architecture,https://guides.lib.utexas.edu/land_arch
37,Architecture and Planning,Sustainable Design,https://guides.lib.utexas.edu/sustainable_design
38,Architecture and Planning,Texas Architects and Architecture,https://guides.lib.utexas.edu/texas_arch
39,Architecture and Planning,Urban Design,https://guides.lib.utexas.edu/urban_design
40,Art and Art History,Art and Art History,https://guides.lib.utexas.edu/art
41,Art and Art History,Art Education,https://guides.lib.utexas.edu/c.php?g=554001
42,Art and Art History,Artists' Books at the Fine Arts Library,https://guides.lib.utexas.edu/artistsbooks
43,Art and Art History,ARTstor,https://guides.lib.utexas.edu/artstor
44,Art and Art History,Ellsworth Kelly's Austin,https://guides.lib.utexas.edu/ellsworthkelly
45,Art and Art History,Greek and Roman Art,https://guides.lib.utexas.edu/greekroman_art
46,Art and Art History,Images,https://guides.lib.utexas.edu/images
47,Art and Art History,"Visual Resources Collection, Fine Arts Library",https://guides.lib.utexas.edu/c.php?g=518591
48,Art and Art History,Zines,https://guides.lib.utexas.edu/zines
49,Asian American Studies,Asian-American Studies,https://guides.lib.utexas.edu/asianamericanstudies
50,Asian American Studies,Disability Studies,https://guides.lib.utexas.edu/disabilitystudies
51,Asian Studies,China Studies,https://guides.lib.utexas.edu/China
52,Asian Studies,East Asian Studies,https://guides.lib.utexas.edu/EAS
53,Asian Studies,Japan Studies,https://guides.lib.utexas.edu/Japan
54,Asian Studies,Korea Studies,https://guides.lib.utexas.edu/Korea
55,Asian Studies,South Asian Studies,https://guides.lib.utexas.edu/southasianstudies
56,Asian Studies,Taiwan Studies,https://guides.lib.utexas.edu/Taiwan
57,Astronomy,Astronomy,https://guides.lib.utexas.edu/astronomy
58,Biochemistry,Biochemistry,https://guides.lib.utexas.edu/biochemistry
59,Bioinformatics,Biomedical Big Data Resource Center,https://guides.lib.utexas.edu/biomecdicalresourcecenter
60,Biology,BEACON Public Engagement Workshop,https://guides.lib.utexas.edu/BEACONworkshop
61,Biology,Biochemistry,https://guides.lib.utexas.edu/biochemistry
62,Biology,Biology,https://guides.lib.utexas.edu/biology
63,Biology,Biomedical Big Data Resource Center,https://guides.lib.utexas.edu/biomecdicalresourcecenter
64,Biology,"Individual & Population Variation in Biology, Medicine, & Society",https://guides.lib.utexas.edu/PopUpVariation
65,Biomedical Engineering,Biomedical Engineering,https://guides.lib.utexas.edu/bme
66,Biomedical Engineering,BME 333T - Engineering Communication - DeMont - Maymester,https://guides.lib.utexas.edu/demont-maymester
67,Business,"""Business Research Center""",https://guides.lib.utexas.edu/BRC
68,Business,Accounting & Tax Research (ACC),https://guides.lib.utexas.edu/ACC
69,Business,BA 324 - Business Communication,https://guides.lib.utexas.edu/BA324
70,Business,Business Plans,https://guides.lib.utexas.edu/BusinessPlans
71,Business,"Business, Government & Society (BGS)",https://guides.lib.utexas.edu/BGS
72,Business,Career Research Tools,https://guides.lib.utexas.edu/CareerTools
73,Business,Company Research,https://guides.lib.utexas.edu/company
74,Business,Country Research,https://guides.lib.utexas.edu/country
75,Business,Data for Business Research,https://guides.lib.utexas.edu/DataBR
76,Business,Emerging Markets Country Reports,https://guides.lib.utexas.edu/emcr
77,Business,FIN 374S - Entrepreneurial Finance - Hughes,https://guides.lib.utexas.edu/entfin
78,Business,Finance (FIN),https://guides.lib.utexas.edu/FIN
79,Business,Financial Statement Analysis,https://guides.lib.utexas.edu/fsa
80,Business,Fulbright Visiting Scholar Program For Iraq,https://guides.lib.utexas.edu/FVSPI
81,Business,Human Dimensions of Organizations,https://guides.lib.utexas.edu/hdo
82,Business,IB 350 - International Trade & Investment,https://guides.lib.utexas.edu/ib350
83,Business,Industry Research,https://guides.lib.utexas.edu/industry
84,Business,"Information, Risk & Operations Management (IROM)",https://guides.lib.utexas.edu/IROM
85,Business,MAN 327 - Innovation & Entrepreneurship,https://guides.lib.utexas.edu/MAN327IE
86,Business,MAN 366P - MGMT PRACT: Social Entrepreneurship,https://guides.lib.utexas.edu/MPSE
87,Business,Management (MAN),https://guides.lib.utexas.edu/MAN
88,Business,Market Research,https://guides.lib.utexas.edu/market
89,Business,Marketing (MKT),https://guides.lib.utexas.edu/MKT
90,Business,MBA Strategic Career Planning,https://guides.lib.utexas.edu/mbascp
91,Business,MKT 460 - Information and Analysis,https://guides.lib.utexas.edu/mkt460
92,Business,MSBA Career Resources,https://guides.lib.utexas.edu/MSBACareer
93,Business,MSF Career Resources,https://guides.lib.utexas.edu/MSFcareer
94,Business,MSM Career Resources,https://guides.lib.utexas.edu/MSMcareer
95,Business,Technology Commercialization (MSTC),https://guides.lib.utexas.edu/MSTC
96,"Business, Government and Society","""Business Research Center""",https://guides.lib.utexas.edu/BRC
97,"Business, Government and Society","Business, Government & Society (BGS)",https://guides.lib.utexas.edu/BGS
98,Caribbean Studies,Latin American Studies,https://guides.lib.utexas.edu/latinamericanstudies
99,Chemical Engineering,Chemical Engineering,https://guides.lib.utexas.edu/chemicalengineering
100,Chemical Engineering,Physical & Thermodynamic Properties,https://guides.lib.utexas.edu/chemistry/properties
101,Chemistry,Biochemistry,https://guides.lib.utexas.edu/biochemistry
102,Chemistry,Chemistry,https://guides.lib.utexas.edu/chemistry
103,Chemistry,Chemistry Guest Seminars,https://guides.lib.utexas.edu/chemistry/seminars
104,Chemistry,Physical & Thermodynamic Properties,https://guides.lib.utexas.edu/chemistry/properties
105,Chemistry,Spectra and Spectral Data,https://guides.lib.utexas.edu/chemistry/spectra
106,China Studies,China Studies,https://guides.lib.utexas.edu/China
107,China Studies,East Asian Studies,https://guides.lib.utexas.edu/EAS
108,China Studies,Taiwan Studies,https://guides.lib.utexas.edu/Taiwan
109,Civil and Architectural Engineering,"Civil, Architectural and Environmental Engineering",https://guides.lib.utexas.edu/caee
110,Classics,Archaeology,https://guides.lib.utexas.edu/archaeology
111,Classics,Classics,https://guides.lib.utexas.edu/classics
112,Classics,Classics Library News,https://guides.lib.utexas.edu/ClassicsLibraryNews
113,Classics,Early Christianity,https://guides.lib.utexas.edu/earlychristianity
114,Classics,Greek and Latin Literature,https://guides.lib.utexas.edu/greek_latin
115,Classics,Greek and Roman Archaeology,https://guides.lib.utexas.edu/greekroman_arch
116,Classics,Greek and Roman Art,https://guides.lib.utexas.edu/greekroman_art
117,Classics,Greek and Roman Military History,https://guides.lib.utexas.edu/grecoroman_military
118,Classics,Greek and Roman Mythology,https://guides.lib.utexas.edu/greekroman_myth
119,Classics,KIN 349 – History of Sport & Physical Activity - Beckwith,https://guides.lib.utexas.edu/KIN349
120,Classics,Medieval and Renaissance Studies,https://guides.lib.utexas.edu/mrs
121,Collections,Artists' Books at the Fine Arts Library,https://guides.lib.utexas.edu/artistsbooks
122,Collections,Black Queer Studies Collection,https://guides.lib.utexas.edu/bqsc
123,Collections,Film & Video Resources,https://guides.lib.utexas.edu/c.php?g=720098
124,Collections,Historical Music Recordings Collection,https://guides.lib.utexas.edu/hmrc
125,Collections,Zines,https://guides.lib.utexas.edu/zines
126,Communication Sciences and Disorders,Communication Sciences And Disorders,https://guides.lib.utexas.edu/CSD
127,Communication Studies,Communication Studies,https://guides.lib.utexas.edu/COM
128,Community and Regional Planning,ARTstor,https://guides.lib.utexas.edu/artstor
129,Community and Regional Planning,Community and Regional Planning,https://guides.lib.utexas.edu/crp
130,Community and Regional Planning,Digital Scholarship and the School of Architecture,https://guides.lib.utexas.edu/DS_SOA
131,Community and Regional Planning,Urban Design,https://guides.lib.utexas.edu/urban_design
132,Comparative Literature,Black Queer Studies Collection,https://guides.lib.utexas.edu/bqsc
133,Comparative Literature,E314,https://guides.lib.utexas.edu/e314
134,Computer Sciences,Computer Science,https://guides.lib.utexas.edu/CS
135,Consumer Health,"Individual & Population Variation in Biology, Medicine, & Society",https://guides.lib.utexas.edu/PopUpVariation
136,Consumer Health,Medicine,https://guides.lib.utexas.edu/medicine
137,Consumer Health,Nursing,https://guides.lib.utexas.edu/nursing
138,Curriculum and Instruction,Education Research,https://guides.lib.utexas.edu/education
139,Curriculum and Instruction,K-12 Textbooks,https://guides.lib.utexas.edu/k12textbooks
140,Curriculum and Instruction,Youth Literature,https://guides.lib.utexas.edu/youthlit
141,Dance,TD 301 - Introduction to Theatre / Carlson,https://guides.lib.utexas.edu/IntroductionToTheatre
142,Dance,"TD 311C - Performance as Public Practice / Bonin, Carlson, & Darlington",https://guides.lib.utexas.edu/PerformancePublicPractice
143,Dance,TD 388 - Research Methods and Resources - Alrutz,https://guides.lib.utexas.edu/td388research_resources
144,Dance,Theatre & Dance,https://guides.lib.utexas.edu/theatredance
145,Design,Design,https://guides.lib.utexas.edu/designguide
146,Digital Scholarship,Data & Donuts,https://guides.lib.utexas.edu/data-and-donuts
147,Digital Scholarship,Data Lab,https://guides.lib.utexas.edu/datalab
148,Digital Scholarship,Data Visualization,https://guides.lib.utexas.edu/data-visualization
149,Digital Scholarship,Digital Humanities Tools and Resources,https://guides.lib.utexas.edu/digitalhumanities
150,Digital Scholarship,Finding Humanities Data,https://guides.lib.utexas.edu/c.php?g=815698
151,Digital Scholarship,Omeka,https://guides.lib.utexas.edu/omeka
152,Digital Scholarship,Preserving Web Sites using WinHTTrack,https://guides.lib.utexas.edu/WinHTTrack_Guide
153,Digital Scholarship,Scraping Twitter,https://guides.lib.utexas.edu/c.php?g=743999
154,Digital Scholarship,Text Analysis,https://guides.lib.utexas.edu/c.php?g=773325
155,Disability Studies,Counseling and Therapy,https://guides.lib.utexas.edu/counseling
156,Disability Studies,Disability Studies,https://guides.lib.utexas.edu/disabilitystudies
157,Dutch Literature,Dutch Literature,https://guides.lib.utexas.edu/dutch_lit
158,East Asian Studies,China Studies,https://guides.lib.utexas.edu/China
159,East Asian Studies,East Asian Studies,https://guides.lib.utexas.edu/EAS
160,East Asian Studies,Japan Studies,https://guides.lib.utexas.edu/Japan
161,East Asian Studies,Korea Studies,https://guides.lib.utexas.edu/Korea
162,East Asian Studies,Taiwan Studies,https://guides.lib.utexas.edu/Taiwan
163,Economics,Data for Business Research,https://guides.lib.utexas.edu/DataBR
164,Economics,Economics,https://guides.lib.utexas.edu/economic
165,Education,Disability Studies,https://guides.lib.utexas.edu/disabilitystudies
166,Education,Education Research,https://guides.lib.utexas.edu/education
167,Education,Educational Psychology,https://guides.lib.utexas.edu/edpsych
168,Education,K-12 Textbooks,https://guides.lib.utexas.edu/k12textbooks
169,Education,Kinesiology & Health Education,https://guides.lib.utexas.edu/kinesiology
170,Education,Special Education Research,https://guides.lib.utexas.edu/specialeducation
171,Education,Tests & Measures,https://guides.lib.utexas.edu/tests
172,Education,UT Elementary School,https://guides.lib.utexas.edu/UTelementary
173,Education,Youth Literature,https://guides.lib.utexas.edu/youthlit
174,Educational Administration,EDA 383 School Community Relations,https://guides.lib.utexas.edu/education/assetmapping
175,Educational Administration,Education Research,https://guides.lib.utexas.edu/education
176,Educational Administration,K-12 Textbooks,https://guides.lib.utexas.edu/k12textbooks
177,Educational Psychology,Counseling and Therapy,https://guides.lib.utexas.edu/counseling
178,Educational Psychology,Education Research,https://guides.lib.utexas.edu/education
179,Educational Psychology,Educational Psychology,https://guides.lib.utexas.edu/edpsych
180,Educational Psychology,Tests & Measures,https://guides.lib.utexas.edu/tests
181,Electrical and Computer Engineering,Electrical and Computer Engineering,https://guides.lib.utexas.edu/ece
182,Electrical and Computer Engineering,Patent Information for E E 364D Introduction To Engineering Design - Hallock,https://guides.lib.utexas.edu/ee364d
183,Engineering,Aerospace Engineering,https://guides.lib.utexas.edu/aerospace
184,Engineering,Alec and the Engineering Library,https://guides.lib.utexas.edu/alec
185,Engineering,ASE/BME 333T - Engineering Communication - DeMont,https://guides.lib.utexas.edu/demont
186,Engineering,Biomedical Engineering,https://guides.lib.utexas.edu/bme
187,Engineering,BME 197E - Professional Responsibilities,https://guides.lib.utexas.edu/bme197e-professional-responsibilities
188,Engineering,BME 333T - Engineering Communication - DeMont - Maymester,https://guides.lib.utexas.edu/demont-maymester
189,Engineering,CE 301 - Civil Engineering Systems,https://guides.lib.utexas.edu/ce301-civil-engineering-systems
190,Engineering,ChE 333T - Engineering Communication - Randall,https://guides.lib.utexas.edu/che333t-engineering-communication-randall
191,Engineering,Chemical Engineering,https://guides.lib.utexas.edu/chemicalengineering
192,Engineering,Cite your Sources: Engineering Resources,https://guides.lib.utexas.edu/cite
193,Engineering,"Civil, Architectural and Environmental Engineering",https://guides.lib.utexas.edu/caee
194,Engineering,Comptes Rendus,https://guides.lib.utexas.edu/comptes_rendus
195,Engineering,EE 333T - Engineering Communication - Fagelson,https://guides.lib.utexas.edu/ee333t-engineering-communication-fagelson
196,Engineering,EE 333T - Engineering Communication - Wuster,https://guides.lib.utexas.edu/ee333t
197,Engineering,Electrical and Computer Engineering,https://guides.lib.utexas.edu/ece
198,Engineering,Energy Resources,https://guides.lib.utexas.edu/energy
199,Engineering,Engineering,https://guides.lib.utexas.edu/engineering
200,Engineering,Engineering History Books,https://guides.lib.utexas.edu/hist
201,Engineering,Engineering Societies Digital Collections,https://guides.lib.utexas.edu/societies
202,Engineering,Ethics in Engineering,https://guides.lib.utexas.edu/ethics
203,Engineering,Find Funding Opportunities,https://guides.lib.utexas.edu/findfunding
204,Engineering,Finding NASA & NACA Reports,https://guides.lib.utexas.edu/nasa
205,Engineering,History of the McKinney Engineering Library,https://guides.lib.utexas.edu/mckinney
206,Engineering,KAUST - Awad,https://guides.lib.utexas.edu/kaust
207,Engineering,Materials Science and Engineering,https://guides.lib.utexas.edu/materials
208,Engineering,ME 333T - Engineering Communication,https://guides.lib.utexas.edu/me333t-engineering-communication
209,Engineering,Mechanical Engineering,https://guides.lib.utexas.edu/mech
210,Engineering,"Patents, Trademarks, and Copyright",https://guides.lib.utexas.edu/ip
211,Engineering,Petroleum and Geosystems Engineering,https://guides.lib.utexas.edu/pge
212,Engineering,Phase Diagrams,https://guides.lib.utexas.edu/phase
213,Engineering,Science and Technology free sites,https://guides.lib.utexas.edu/web
214,Engineering,"Standards, Codes, & Specifications",https://guides.lib.utexas.edu/standards
215,Engineering,Technical Reports,https://guides.lib.utexas.edu/techreports
216,Engineering,Using Patent Databases and Finding Patents,https://guides.lib.utexas.edu/findpatents
217,English Literature,Black Queer Studies Collection,https://guides.lib.utexas.edu/bqsc
218,English Literature,E314,https://guides.lib.utexas.edu/e314
219,English Literature,English Literature,https://guides.lib.utexas.edu/englishlit
220,English Literature,Folklore,https://guides.lib.utexas.edu/folklore
221,English Literature,UT Poetry Center,https://guides.lib.utexas.edu/utpc
222,Entertainment Technologies,Arts and Entertainment Technologies,https://guides.lib.utexas.edu/aet
223,European Studies,European Studies,https://guides.lib.utexas.edu/europeanstudies
224,European Studies,Finding Humanities Data,https://guides.lib.utexas.edu/c.php?g=815698
225,Faculty Tools,Faculty Resources,https://guides.lib.utexas.edu/facultyresources
226,Faculty Tools,Faculty Workshop: Writing in the Disciplines,https://guides.lib.utexas.edu/writingworkshop
227,Faculty Tools,Gems at the UT Libraries,https://guides.lib.utexas.edu/gems
228,Faculty Tools,Information Literacy Toolkit,https://guides.lib.utexas.edu/toolkit
229,Faculty Tools,Library Support for Signature Course (UGS) Faculty,https://guides.lib.utexas.edu/ugsfaculty
230,Faculty Tools,UGS TA Resources,https://guides.lib.utexas.edu/UGSTA
231,Finance,"""Business Research Center""",https://guides.lib.utexas.edu/BRC
232,Finance,FIN 374S - Entrepreneurial Finance - Hughes,https://guides.lib.utexas.edu/entfin
233,Finance,Finance (FIN),https://guides.lib.utexas.edu/FIN
234,Finance,MSF Career Resources,https://guides.lib.utexas.edu/MSFcareer
235,Folklore,Folklore,https://guides.lib.utexas.edu/folklore
236,French Studies,French Studies,https://guides.lib.utexas.edu/frenchstudies
237,Geography,Geography,https://guides.lib.utexas.edu/geography
238,Geography,"GRG 344K/LAS 330 - Global Food, Farming & Hunger",https://guides.lib.utexas.edu/GRGLAS
239,Geological Sciences,Energy Resources,https://guides.lib.utexas.edu/energy
240,Geological Sciences,Geosciences,https://guides.lib.utexas.edu/geo
241,Germanic Studies,Folklore,https://guides.lib.utexas.edu/folklore
242,Germanic Studies,Germanic Studies,https://guides.lib.utexas.edu/germanicstudies
243,Greek and Latin Language and Literature,Classics,https://guides.lib.utexas.edu/classics
244,Greek and Latin Language and Literature,Medieval and Renaissance Studies,https://guides.lib.utexas.edu/mrs
245,Health Sciences,Counseling and Therapy,https://guides.lib.utexas.edu/counseling
246,Health Sciences,Disability Studies,https://guides.lib.utexas.edu/disabilitystudies
247,Health Sciences,Health & Humanities,https://guides.lib.utexas.edu/PopUpHealthandHumanities
248,Health Sciences,"Individual & Population Variation in Biology, Medicine, & Society",https://guides.lib.utexas.edu/PopUpVariation
249,Health Sciences,Medicine,https://guides.lib.utexas.edu/medicine
250,Health Sciences,Nursing,https://guides.lib.utexas.edu/nursing
251,Health Sciences,Pharmacy,https://guides.lib.utexas.edu/pharmacy
252,Health Sciences,Public Health,https://guides.lib.utexas.edu/pbh
253,Health Sciences,Science Communication,https://guides.lib.utexas.edu/sciencecommunication
254,Health Sciences,Youth Substance Misuse,https://guides.lib.utexas.edu/youthsubstancemisuse
255,Hebrew Studies,Hebrew / Jewish / Israel Studies,https://guides.lib.utexas.edu/hebrew-jewish-israel
256,Historic Preservation,ARTstor,https://guides.lib.utexas.edu/artstor
