,remark,price,title,flavour,environment,service
0,"2971
条点评","人均
            ￥95",大龙燚火锅(太古里店),口味9.0,环境9.0,服务9.0
1,"5933
条点评","人均
            ￥98",小龙坎老火锅(春熙店),口味8.9,环境9.0,服务8.6
2,"265
条点评","人均
            ￥69",如在蜀老火锅(春熙店),口味9.0,环境9.1,服务9.1
3,"6940
条点评","人均
            ￥102",老码头火锅(春熙店),口味8.9,环境9.0,服务9.1
4,"8374
条点评","人均
            ￥98",小龙坎老火锅(春熙概念店),口味8.8,环境8.8,服务8.2
5,"5143
条点评","人均
            ￥95",蜀大侠火锅(春熙店),口味8.9,环境8.9,服务8.3
6,"370
条点评","人均
            ￥80",禄合門(太古里店),口味9.1,环境9.2,服务9.1
7,"3782
条点评","人均
            ￥98",蜀大侠火锅(总府路店),口味8.9,环境8.9,服务8.4
8,"747
条点评","人均
            ￥81",春熙里老火锅(春熙概念店),口味9.0,环境9.1,服务9.1
9,"384
条点评","人均
            ￥78",想吃蛙(盐市口旗舰店),口味9.1,环境9.3,服务9.2
10,"773
条点评","人均
            ￥292",8号(成都群光君悦酒店),口味8.8,环境9.3,服务9.0
11,"1924
条点评","人均
            ￥94",烤匠麻辣烤鱼(IFS店),口味8.8,环境8.9,服务8.5
12,"678
条点评","人均
            ￥80",蜀仙里火锅(太古里店),口味8.7,环境9.2,服务9.0
13,"3856
条点评","人均
            ￥83",重庆袁老四老火锅(东大街店),口味8.5,环境9.0,服务8.2
14,"657
条点评","人均
            ￥83",大院火老火锅(春熙路店),口味8.9,环境9.1,服务9.1
15,"1512
条点评","人均
            ￥81",蜀韵蜀味火锅(春熙店),口味8.6,环境9.1,服务8.9
16,"484
条点评","人均
            ￥67",华兴九号辣铺(春熙总店),口味8.6,环境9.2,服务9.0
17,"1262
条点评","人均
            ￥78",凤望龙门老火锅(盐市口概念店),口味9.0,环境9.0,服务8.6
18,"687
条点评","人均
            ￥112",大侠行江湖火锅(春熙店),口味8.7,环境9.3,服务9.0
19,"673
条点评","人均
            ￥87",月满大江火锅(总府路店),口味9.0,环境9.1,服务8.9
20,"1459
条点评","人均
            ￥95",蜀小匠牛排火锅(春熙路总店),口味8.1,环境7.5,服务8.3
21,"268
条点评","人均
            ￥96",鲜炎·炭火火锅,口味8.1,环境8.7,服务8.2
22,"3427
条点评","人均
            ￥85",凤望龙门老火锅(春熙店),口味8.6,环境8.6,服务8.6
23,"1396
条点评","人均
            ￥69",有拈头成都市井火锅(太古里店),口味7.9,环境8.0,服务7.7
24,"1254
条点评","人均
            ￥75",码头故事火锅(春熙路店),口味8.8,环境9.1,服务8.9
25,"2132
条点评","人均
            ￥90",春熙里老火锅(春熙总店),口味8.5,环境9.0,服务8.6
26,"1179
条点评","人均
            ￥78",重庆袁老四老火锅(香槟店),口味8.3,环境8.5,服务7.8
27,"69
条点评","人均
            ￥59",大蜀龙门火锅(红星路二段总店),口味7.8,环境8.6,服务8.2
28,"1240
条点评","人均
            ￥86",醉码头火锅(春熙路店),口味8.7,环境9.1,服务8.6
29,"280
条点评","人均
            ￥127",大妙火锅(太古里店),口味8.4,环境9.1,服务8.4
30,"3321
条点评","人均
            ￥89",巴蜀大将火锅(春熙店),口味8.4,环境8.8,服务8.5
31,"864
条点评","人均
            ￥76",塘门英雄·美蛙鱼头火锅(春熙路店),口味8.7,环境9.0,服务8.8
32,"1
条点评","人均
          -",谭二师路边麻辣烫,口味7.6,环境7.6,服务7.6
33,"706
条点评","人均
            ￥79",龙门飞鱼美蛙鱼头火锅(春熙店),口味8.7,环境8.9,服务8.8
34,"2532
条点评","人均
            ￥83",重庆袁老四老火锅(东升店),口味8.3,环境8.3,服务7.8
35,"1627
条点评","人均
            ￥78",野兽花园重庆火锅(太古里店),口味8.0,环境8.8,服务8.0
36,"77
条点评","人均
            ￥76",小春熙老火锅(春熙路店),口味8.9,环境9.1,服务8.7
37,"1699
条点评","人均
            ￥84",巴蜀大将火锅(IFS店),口味8.3,环境8.9,服务8.8
38,"801
条点评","人均
            ￥81",重庆袁老四老火锅(太古里店),口味8.2,环境8.6,服务8.1
39,"543
条点评","人均
            ￥82",谭鸭血老火锅(王府井直营店),口味7.6,环境8.1,服务7.4
40,"528
条点评","人均
            ￥102",梨园火锅(兰桂坊店),口味8.2,环境9.1,服务8.6
41,"1473
条点评","人均
            ￥76",龙幺妹老火锅(香槟广场店),口味8.5,环境8.3,服务8.4
42,"1182
条点评","人均
            ￥73",蛙三泡椒牛蛙(春熙银石店),口味8.3,环境8.6,服务8.1
43,"109
条点评","人均
            ￥63",蜀财神火锅,口味8.9,环境9.1,服务8.8
44,"674
条点评","人均
            ￥69",川西坝子涮烤自助火锅(春熙店),口味7.6,环境7.8,服务8.0
45,"526
条点评","人均
            ￥63",竹板凳老火锅(春熙店),口味8.2,环境8.9,服务8.6
46,"2297
条点评","人均
            ￥78",逸南山鲜毛肚火锅,口味8.1,环境8.8,服务8.4
47,"58
条点评","人均
            ￥75",五斗柴火锅鲜生(太古里店),口味8.5,环境8.0,服务8.4
48,"503
条点评","人均
            ￥59",拿东拿西自助火锅(春熙路店),口味8.0,环境8.3,服务8.2
49,"57
条点评","人均
            ￥63",灶王爷石锅老火锅,口味8.7,环境8.7,服务8.5
50,"1718
条点评","人均
            ￥80",蜀胡记川西坝子(东门大桥店),口味8.7,环境8.8,服务8.9
51,"640
条点评","人均
            ￥88",红鼎坊(总店),口味8.2,环境8.0,服务7.9
52,"340
条点评","人均
            ￥82",蜀国大师(盐市口店),口味8.2,环境9.1,服务8.8
53,"1045
条点评","人均
            ￥91",牛莽莽老火锅(银石广场店),口味8.0,环境8.8,服务8.4
54,"532
条点评","人均
            ￥77",一条乌鱼泡龙虾,口味7.6,环境8.1,服务7.7
55,"640
条点评","人均
            ￥84",大龙火锅(春熙路概念店),口味7.7,环境8.1,服务7.7
56,"1403
条点评","人均
            ￥77",蜀锦味老火锅(春熙路店),口味7.9,环境8.2,服务7.7
57,"1021
条点评","人均
            ￥74",蜀宗袍哥人家老火锅(春熙路店),口味8.2,环境8.2,服务7.7
58,"487
条点评","人均
            ￥74",闹城都鲜货火锅(春熙路店),口味7.6,环境8.4,服务7.7
59,"559
条点评","人均
            ￥94",聚百香川西坝子(香槟广场店),口味7.8,环境7.9,服务7.9
60,"1815
条点评","人均
            ￥66",三国烤肉海鲜欢乐自助风(春熙店),口味7.0,环境7.0,服务7.1
61,"145
条点评","人均
            ￥68",老重庆金三角串串香,口味7.7,环境7.0,服务7.4
62,"385
条点评","人均
            ￥74",蓉城江北老灶火锅(春熙路店),口味7.2,环境7.4,服务6.9
63,"346
条点评","人均
            ￥79",围炉川西坝子火锅(总府路店),口味8.0,环境8.1,服务8.0
64,"119
条点评","人均
            ￥79",红瓦房火锅(春熙路王府井店),口味7.8,环境8.1,服务7.9
65,"1
条点评","人均
          -",囍辣火锅厅·喜辣(太古里店),口味7.7,环境7.7,服务7.7
66,"10
条点评","人均
          -",春熙里老火锅,口味7.6,环境7.8,服务7.7
67,"32
条点评","人均
            ￥119",川家铺子火锅,口味6.9,环境7.2,服务7.2
68,"201
条点评","人均
            ￥89",大道川西坝子火锅(春熙路店),口味6.8,环境6.9,服务7.4
69,"52
条点评","人均
            ￥72",味霸美蛙鱼头主题龙虾馆(香槟广场店),口味7.3,环境7.1,服务7.2
70,"276
条点评","人均
            ￥68",锦园火锅,口味7.2,环境8.3,服务7.7
71,"4
条点评","人均
          -",大龙火锅,口味6.9,环境6.9,服务6.9
72,"26
条点评","人均
            ￥40",逗士香砂锅串串,口味7.1,环境7.0,服务7.2
73,"1
条点评","人均
          -",醉城都火锅(香槟广场店),口味7.1,环境7.1,服务7.1
74,"2
条点评","人均
          -",四川宾馆南楼,口味7.0,环境7.0,服务7.0
75,"1
条点评","人均
          -",小涮锅,口味6.9,环境7.0,服务6.9
76,"12
条点评","人均
          -",大蜀龙门火锅(春熙总店),口味7.0,环境7.1,服务6.8
77,"339
条点评","人均
            ￥65",雷火锅新派串串(太古里店),口味9.0,环境8.7,服务8.8
78,"428
条点评","人均
            ￥79",龍爷翻大江老火锅(春熙路总店),口味8.1,环境9.0,服务8.4
79,"203
条点评","人均
            ￥73",红花椒新火锅(春熙路店),口味7.6,环境7.8,服务7.9
80,"118
条点评","人均
            ￥81",摆渡人老火锅铺,口味7.4,环境7.5,服务7.5
