LAB EAT Restaurant & Bar,尖沙咀,$201-400,西式,海鮮,367,
CHEF STAGE de Eddy Chu,尖沙咀,$401-800,西式,酒,558,
The Captain's House,尖沙咀,$201-400,西式,海鮮,377,
Espuma,尖沙咀,$101-200,西班牙菜,甜品/糖水,465,
The Grill Room,銅鑼灣,$201-400,西式,扒房,470,
漁獲?燒 Toretore Hamayaki,銅鑼灣,$201-400,日本菜,日本菜,417,
The Hwaduk,銅鑼灣,$101-200,韓國菜,韓式炸雞,386,
西餐大排檔 Tai Pai Tong Hong Kong,銅鑼灣,$201-400,西式,海鮮,527,
Shine,尖沙咀,$201-400,西式,酒,443,
和匠日式燒肉店 Wa Shou Yakiniku,佐敦,$201-400,日本菜,烤肉,409,
鮮入圍煮 Market Hotpot,旺角,$201-400,粵菜 (廣東),火鍋,196,
Sky726,旺角,$201-400,法國菜,甜品/糖水,289,
Cafe Paradise,太子,$51-100,意大利菜,甜品/糖水,310,
Espuma,中環,$101-200,西班牙菜,甜品/糖水,461,
鳥居居酒屋 tori izakaya,銅鑼灣,$201-400,日本菜,爐端燒,339,
嵐山日本料理 Arashiyama Japanese Restaurant,尖沙咀,$201-400,日本菜,壽司/刺身,266,
Yadllie Plate,旺角,$101-200,韓國菜,韓式炸雞,354,
樂園 Happyland,尖沙咀,$101-200,西式,樓上cafe,406,
肚餓了串燒烤焗專門店 Hungry Bird,尖沙咀,$101-200,港式,海鮮,372,
M3 Italian,沙田,$101-200,意大利菜,海鮮,358,
Day and Nite by Master Kama,旺角,$101-200,日本菜,海鮮,322,
Plato,油麻地,$101-200,西式,咖啡店,334,
泰燒遙 Thai on 5 Seafood Grill and Bar,尖沙咀,$201-400,泰國菜,海鮮,310,
Running 燒 Running BBQ,旺角,$201-400,韓國菜,自助餐,296,
極尚大喜屋日本料理 Deluxe Daikiya Japanese Restaurant,尖沙咀,$201-400,日本菜,日式放題,258,
百樂小館 Chateh,尖沙咀,$201-400,潮州菜,酒樓,320,
新泰東南亞餐廳 Sun Thai Restaurant,灣仔,$101-200,越南菜,海鮮,284,
阿來泰式地道風味 Aroy Khao Man Gai,旺角,$51-100,泰國菜,泰國菜,268,
御膳 Imperial,觀塘,$201-400,粵菜 (廣東),海鮮,316,
Plato Cafe & Bistro,油麻地,$101-200,西式,甜品/糖水,287,
Cambo ??????,尖沙咀,$101-200,越南菜,泰國菜,328,
小甜谷 Dessert Kaffee Xiao Tian Gu Dessert Kaffee,銅鑼灣,$101-200,西式,甜品/糖水,363,
番本日式放題 Banmoto Japanese All You Can Eat Restaurant,旺角,$201-400,日本菜,日式放題,403,
Amico 1890,旺角,$101-200,西式,薄餅,270,
大本瀛日式放題 DaBen Ei Japanese Restaurant,旺角,$201-400,日本菜,日式放題,395,
心之食堂 Love Cafe,銅鑼灣,$201-400,日本菜,壽司/刺身,314,
Candies Foodies,尖沙咀,$101-200,西式,咖啡店,297,
串酒里 KEBABEER,尖沙咀,$101-200,日本菜,烤肉,277,
Manhattan Grill & Bar,觀塘,$201-400,美國菜,酒吧,290,
Burgeroom,尖沙咀,$51-100,美國菜,漢堡包,264,
韓舍 Korean House,旺角,$101-200,韓國菜,烤肉,304,
Vision 8,荃灣,$201-400,意大利菜,西式,267,
酒鍋 The Drunken Pot,尖沙咀,$201-400,粵菜 (廣東),火鍋,244,
S2 Kitchen,中環,$201-400,日本菜,壽司/刺身,334,
The Place,旺角,$401-800,多國菜,海鮮,208,
一起果醬 Let's Jam,尖沙咀,$101-200,西式,甜品/糖水,267,
EAT ME Bar & Restaurant,旺角,$101-200,多國菜,咖啡店,374,
OPPA韓國燒肉店 OPPA Korean Restaurant,旺角,$101-200,韓國菜,海鮮,221,
大滿喜日本料理 Daimanki Japanese Restaurant,旺角,$201-400,日本菜,日式放題,324,
凡高廚房 Van Gogh Kitchen,銅鑼灣,$201-400,意大利菜,西餐廳,373,
金船長餐廳 Golden Captain Restaurant,大角咀,$101-200,意大利菜,薄餅,490,
神戶屋日韓放題 Kobe Fusion Restaurant,旺角,$201-400,韓國菜,壽司/刺身,397,
Pom's Kitchen & Deli,佐敦,$101-200,西式,西餐廳,220,
吞POT 雞煲火鍋.住家菜 Lazy Pot,旺角,$101-200,港式,火鍋,230,
Espuma,灣仔,$101-200,西班牙菜,甜品/糖水,306,
殿 大喜屋日本料理 TONO DAIKIYA Japanese Restaurant,尖沙咀,$201-400,日本菜,壽司/刺身,225,
掌壽司 Tenohira Sushi,觀塘,$201-400,日本菜,壽司/刺身,225,
Diletto,尖沙咀,$201-400,意大利菜,扒房,177,
鱈卵屋 Tararan-ya,銅鑼灣,$201-400,日本菜,壽司/刺身,252,
Deer Kitchen,觀塘,$101-200,意大利菜,沙律,216,
街坊Cafe Kaifong Cafe,旺角,$51-100,港式,甜品/糖水,227,
I's Land Cafe,觀塘,$101-200,港式,西式糕點,220,
Dodam Chicken,銅鑼灣,$101-200,韓國菜,韓式炸雞,279,
第三站 Station 3 Cafe,旺角,$101-200,意大利菜,咖啡店,193,
孖啡 Double Cafe,旺角,$51-100,西式,甜品/糖水,176,
101手工涮涮鍋,尖沙咀,$201-400,台灣菜,火鍋,226,
CHOO CHOO,長沙灣,$101-200,西式,甜品/糖水,210,
K2 Kitchen,觀塘,$101-200,多國菜,海鮮,214,
Le Viet,尖沙咀,$101-200,越南菜,串燒,220,
靚煲皇 Supreme Hot Pot,旺角,$101-200,港式,火鍋,223,
正宗水上人氣鍋專門店 Boat Dweller Steam Hot Pot Specialist,旺角,$201-400,粵菜 (廣東),火鍋,227,
Cosmos Restaurant & Bar,尖沙咀,$101-200,西式,海鮮,185,
飲茶 Yum Cha,尖沙咀,$101-200,粵菜 (廣東),點心,123,
WOFT,旺角,$101-200,西式,西式,196,
首爾家韓國料理 Seoul House,銅鑼灣,$101-200,韓國菜,烤肉,192,
悠蔬食 Leisurely Veggie,銅鑼灣,$101-200,多國菜,素食,167,
慢煮工業 Under Vacuum The Steak,太子,$51-100,西式,三文治,164,
i kitchen,觀塘,$101-200,多國菜,多國菜,206,
九重鮮 Steam Fresh,紅磡,$201-400,韓國菜,火鍋,244,
Lo Spazio,銅鑼灣,$201-400,意大利菜,海鮮,195,
村爺爺龍蝦湯.泡飯.燉湯專家,油麻地,$50以下,港式,湯品,193,
薄荷葉泰國菜 Mint Thai House,元朗,$101-200,泰國菜,海鮮,350,
OPPA韓國燒肉店 OPPA Korean Restaurant,大埔,$101-200,韓國菜,海鮮,226,
吃吧 Chiba,旺角,$101-200,西式,酒吧,167,
Urban United Burger & Bar,元朗,$101-200,西式,漢堡包,202,
樂天大喜屋日本料理 Daikiya Japanese Restaurant,旺角,$201-400,日本菜,日式放題,199,
Bistronomique,西環,$201-400,法國菜,西餐廳,190,
LA Creperie,銅鑼灣,$101-200,法國菜,甜品/糖水,131,
奈良上釜 Kamameshi,銅鑼灣,$101-200,日本菜,日本菜,167,
新泰東南亞餐廳 Sun Thai Restaurant,灣仔,$101-200,泰國菜,海鮮,189,
尚上下夏 - 養生雞煲火鍋 JKJ POT,尖沙咀,$101-200,港式,火鍋,208,
琥酌,太子,$201-400,日本菜,烤肉,163,
金撈老鴨湯刺身火鍋專門店 Kum Lo Hotpot,佐敦,$101-200,港式,火鍋,197,
101手工涮涮鍋 101 Grill Bar + Hot Pot,銅鑼灣,$201-400,台灣菜,火鍋,273,
Go Inside Kitchen,觀塘,$101-200,意大利菜,西式,203,
八幡屋涮涮鍋 Yahataya Shabu Shabu,旺角,$101-200,日本菜,火鍋,282,
泰斗 Thai Master Restaurant & Bar,尖沙咀,$201-400,泰國菜,泰國菜,193,
酒鍋 The Drunken Pot,銅鑼灣,$201-400,粵菜 (廣東),火鍋,217,
大喜屋日本料理 Daikiya Japanese Restaurant,尖沙咀,$201-400,日本菜,日式放題,268,
Rang Mahal Authentic Indian Cuisine,中環,$101-200,印度菜,印度菜,180,
Wing's Kitchen,尖沙咀,$101-200,意大利菜,薄餅,201,
蜀府川鍋,油塘,$101-200,川菜 (四川),火鍋,185,
新麻蒲 BBQ Shin Mapo BBQ,銅鑼灣,$101-200,韓國菜,烤肉,171,
Mr. Crab by The Captain's House,灣仔,$101-200,西式,海鮮,197,
The Live House,旺角,$101-200,西式,酒,193,
Sabor Spanish Touch Private Kitchen,上環,$201-400,西班牙菜,私房菜,215,
L Place Cafe,深水?,$101-200,多國菜,咖啡店,177,
尚鮮日式燒肉漁市場 Sashi Japanese Yakiniku Restaurant,銅鑼灣,$201-400,日本菜,自助餐,220,
Odelice!,灣仔,$101-200,法國菜,法國菜,159,
Seoulmate Cafe,銅鑼灣,$101-200,韓國菜,甜品/糖水,168,
ROJO,天后,$201-400,西班牙菜,海鮮,186,
漁火海鮮刺身火鍋,銅鑼灣,$201-400,粵菜 (廣東),火鍋,186,
FireBird,銅鑼灣,$101-200,日本菜,串燒,178,
The BASE,觀塘,$101-200,西式,All Day Breakfast,197,
Moreish & Malt,觀塘,$101-200,美國菜,漢堡包,151,
心夜來潮,旺角,$51-100,潮州菜,海鮮,161,
榮哥廚房私房菜,觀塘,$201-400,粵菜 (廣東),中菜館,149,
尚素 The Veggie,觀塘,$101-200,粵菜 (廣東),素食,146,
Aqua,尖沙咀,$401-800,日本菜,海鮮,148,
夢工房西日料理 Dream Maker Restaurant,葵芳,$101-200,日本菜,自助餐,255,
BriKetenia,觀塘,$201-400,法國菜,西餐廳,146,
E Molto Buono,銅鑼灣,$401-800,意大利菜,Fine Dining,160,
尚鮮火鍋海鮮料理 Seansin Seafood Hotpot Experts,銅鑼灣,$201-400,港式,火鍋,143,
飲茶 Yum Cha,中環,$101-200,粵菜 (廣東),點心,87,
億? Multi Taste,旺角,$101-200,粵菜 (廣東),湯品,194,
泰象館 Thai Chang House,九龍城,$101-200,泰國菜,海鮮,139,
鐵魚川式食堂 Iron-Sichuan Food,銅鑼灣,$201-400,川菜 (四川),火鍋,146,
信州日本料理 Shin Shu Japanese,西環,$201-400,日本菜,壽司/刺身,158,
Texas Burger,天后,$51-100,西式,漢堡包,201,
Brunch Club & Supper,銅鑼灣,$101-200,英國菜,All Day Breakfast,180,
Noc Noc,大埔,$101-200,多國菜,All Day Breakfast,129,
Gioia Charcoal Grill & Oyster Bar,西環,$201-400,多國菜,海鮮,159,
大井町日式放題 Ooimachi Japanese Buffet,荃灣,$201-400,日本菜,日式放題,187,
喜來稀肉 Seorae,尖沙咀,$101-200,韓國菜,烤肉,110,
Cafe Paradise,長沙灣,$51-100,意大利菜,甜品/糖水,181,
平昌 Pyeong Chang,旺角,$101-200,韓國菜,烤肉,116,
Mela Italian & Spanish Cuisine,觀塘,$201-400,意大利菜,西班牙菜,157,
Neighbor,銅鑼灣,$101-200,意大利菜,扒房,177,
安安燒 On On BBQ,旺角,$101-200,港式,海鮮,237,
焱手工涮涮鍋 Yan Handcraft Hotpot,旺角,$201-400,台灣菜,火鍋,129,
AVA Restaurant Slash Bar,尖沙咀,$201-400,西式,無肉餐單,135,
火鍋撚 Hot Pot Land,旺角,$201-400,港式,火鍋,91,
??? Hamayaki Jiro Japanese Restaurant,尖沙咀,$201-400,日本菜,海鮮,146,
小曼谷海鮮燒烤屋 Mini Bangkok Seafood and Grill,九龍城,$101-200,泰國菜,海鮮,140,
Cafe 103,尖沙咀,$401-800,西式,自助餐,133,
協奏坊西餐廳 Sonata Western Restaurant,大角咀,$201-400,多國菜,自助餐,131,
小漁港海鮮舫 鮮蒸•鮮味火鍋 Seafood Port Restaurant,太子,$201-400,港式,火鍋,132,
FRITES Belgium on Tap,銅鑼灣,$201-400,比利時菜,西餐廳,136,
鳴橋燒肉料理,旺角,$101-200,日本菜,壽司/刺身,170,
The Oyster House,灣仔,$201-400,意大利菜,海鮮,170,
Barg,銅鑼灣,$201-400,意大利菜,適合大夥人,149,
雅 •悠蔬食 Leisurely Veggie,尖沙咀,$101-200,多國菜,素食,118,
Pizza Maru,銅鑼灣,$101-200,韓國菜,薄餅,119,
慢煮工業 The Hangout by Under Vacuum,太子,$101-200,多國菜,酒,161,
Chic by The Oyster House,尖沙咀,$401-800,西式,蠔吧,156,
The Point,尖沙咀,$101-200,意大利菜,薄餅,116,
漁匠料理 Sakana Takumi,上水,$101-200,日本菜,壽司/刺身,148,
正宗水上人蒸氣鍋專門店 Boat Dweller Steam Hot Pot Specialist,尖沙咀,$201-400,粵菜 (廣東),火鍋,169,
La Kaffa,北角,$51-100,西式,薄餅,123,
Three on Canton,尖沙咀,$401-800,多國菜,自助餐,99,
Gastrobox,尖沙咀,$101-200,意大利菜,海鮮,102,
Home Sweet Home,太子,$101-200,西式,海鮮,160,
小桃咖啡室 Little Tomato Cafe,銅鑼灣,$101-200,西式,咖啡店,163,
米走雞Live Running Chicken Live,觀塘,$101-200,多國菜,火鍋,120,
一心素食 O&S,觀塘,$51-100,西式,素食,132,
鮨心 Kokoro Sushi,旺角,$201-400,日本菜,壽司/刺身,160,
Lava Java 咖啡西餐廳 Lava Java Cafe & Restaurant,觀塘,$101-200,西式,漢堡包,152,
Chico Chica,西環,$201-400,西班牙菜,海鮮,123,
La Postre,銅鑼灣,$101-200,西班牙菜,甜品/糖水,124,
極品煮意 ?煲.烤魚.火? Optimal Taste,葵芳,$101-200,粵菜 (廣東),火鍋,120,
Goobne Chicken,中環,$101-200,韓國菜,韓式炸雞,113,
緣聚西日餐廳 Together,元朗,$101-200,日本菜,自助餐,175,
Rimi Cafe,旺角,$51-100,西式,樓上cafe,106,
WIRED CAFE,尖沙咀,$101-200,日本菜,甜品/糖水,129,
野玩山店 Something Wild,灣仔,$101-200,西式,甜品/糖水,127,
Fiat Caffe,尖沙咀,$51-100,意大利菜,咖啡店,132,
Pizza Piazza,荔枝角,$101-200,意大利菜,薄餅,128,
路邊? Road Hot Pot,土瓜灣,$101-200,港式,火鍋,166,
蝦棧 Shrimp Kitchen,太子,$201-400,台灣菜,海鮮,161,
Nardo's Cafe,旺角,$51-100,西式,樓上cafe,92,
磯野水產 Isono Suisan,銅鑼灣,$201-400,日本菜,海鮮,134,
沙拉姆咖喱屋 Salaam Namaste Curry House,油麻地,$51-100,印度菜,咖喱,132,
Aldou Cafe,元朗,$101-200,多國菜,甜品/糖水,97,
NeNe Chicken,旺角,$101-200,韓國菜,韓式炸雞,119,
牛精皇 Niu Jing Wong,九龍城,$201-400,港式,火鍋,136,
韓半島 Hanbando,尖沙咀,$101-200,韓國菜,海鮮,107,
阿爺粥品手工涮涮鍋 Grandpa's Porridge Shabu Shabu,荃灣,$201-400,粵菜 (廣東),火鍋,130,
BRICK LANE Gallery,尖沙咀,$101-200,英國菜,甜品/糖水,113,
The Food Gallery,尖沙咀,$401-800,西式,自助餐,95,
花子舍 Florahouse,銅鑼灣,$101-200,西式,扒房,111,
El Cerdo,荃灣,$201-400,西班牙菜,西班牙菜,110,
喜來稀肉 Seorae,旺角,$101-200,韓國菜,烤肉,74,
雅高·33 Artco． 33,荃灣,$51-100,意大利菜,酒,124,
?奈 Sakana Gozen,銅鑼灣,$101-200,日本菜,海鮮,128,
大喜屋日本料理 Daikiya Japanese Restaurant,銅鑼灣,$201-400,日本菜,日式放題,139,
卡莎338 Casa 338,長沙灣,$51-100,西式,酒,116,
Anchor’s Seafood and Beer House,荃灣,$201-400,西式,海鮮,72,
尚鮮火鍋海鮮料理 Seansin Seafood Hotpot Experts,佐敦,$201-400,港式,火鍋,121,
?? Hamataki,九龍城,$201-400,日本菜,拉麵,127,
騷 Soul,尖沙咀,$101-200,西式,All Day Breakfast,108,
Spark Bar & Restaurant,中環,$201-400,意大利菜,海鮮,106,
Mango Tree,尖沙咀,$201-400,泰國菜,無肉餐單,108,
醉胡爐 Wulu Restaurant,尖沙咀,$201-400,日本菜,火鍋,139,
巧得鍋 How Awesome,觀塘,$201-400,港式,火鍋,89,
平昌 Premium Pyeong Chang Premium,佐敦,$101-200,韓國菜,烤肉,113,
稻八日式火鍋炸物放題 Inahachi Shabu Shabu,荃灣,$101-200,日本菜,火鍋,156,
LA Creperie,灣仔,$101-200,法國菜,甜品/糖水,148,
Alto,銅鑼灣,$401-800,西式,Fine Dining,48,
Uptop Bistro and Bar,尖沙咀,$201-400,西式,沙律,80,
Rustico,荔枝角,$101-200,西班牙菜,酒,92,
Outdark,尖沙咀,$101-200,韓國菜,韓式炸雞,89,
Mini Friday,旺角,$101-200,法國菜,西式糕點,97,
圃公館 Dining House,灣仔,$201-400,粵菜 (廣東),火鍋,132,
Mini Friday,觀塘,$101-200,法國菜,西式糕點,116,
Amici,中環,$101-200,意大利菜,Fine Dining,107,
Bread Street Kitchen & Bar,中環,$401-800,英國菜,酒店餐廳,105,
龍麵館 Dragon Noodles Academy,中環,$201-400,粵菜 (廣東),粉麵/米線,90,
Townhouse,中環,$201-400,多國菜,西餐廳,88,
野玩田店 Something Wild - The Farm,尖沙咀,$101-200,西式,薄餅,70,
滾得囍宮廷火鍋小炒 Big Boils Club,北角,$201-400,粵菜 (廣東),火鍋,110,
薯仔屋 Small Potato,銅鑼灣,$101-200,西式,咖啡店,146,
湘聚小廚 Jiang's Hunan chef,西環,$51-100,湘菜 (湖南),中菜館,123,
壹玖捌? Hong Kong Cuisine,跑馬地,$201-400,粵菜 (廣東),山珍海味,116,
Chez Bistro,銅鑼灣,$201-400,西式,西餐廳,132,
喜來稀肉 Seorae,銅鑼灣,$101-200,韓國菜,烤肉,64,
Petit Deli,尖沙咀,$101-200,意大利菜,海鮮,91,
琥酌,尖沙咀,$201-400,日本菜,烤肉,135,
Outdark,旺角,$101-200,韓國菜,韓國菜,87,
逸之燒 Ichi Grill Shabu Shabu,元朗,$101-200,日本菜,火鍋,92,
早安越南 Chao Chao,紅磡,$101-200,越南菜,粉麵/米線,87,
峰景餐廳 Cafe Deco,尖沙咀,$401-800,西式,無肉餐單,46,
Siam 28,銅鑼灣,$201-400,泰國菜,海鮮,98,
烏龍燒 Oolong BBQ,旺角,$101-200,港式,海鮮,85,
協奏坊西餐廳 Sonata Western Restaurant,銅鑼灣,$201-400,多國菜,自助餐,93,
Little Break Coffee & Kitchen,荔枝角,$101-200,西式,All Day Breakfast,85,
卷福和他的朋友們 Buddies Crawfish,上環,$101-200,粵菜 (廣東),中菜館,89,
有蒸氣 海鮮石鍋專門店 Steam Seafood Hotpot Restaurant,尖沙咀,$201-400,港式,火鍋,138,
牛石料理 Gyuseki Japanese Restaurant,九龍城,$201-400,日本菜,海鮮,105,
牛? Nabe Urawa,旺角,$101-200,日本菜,火鍋,123,
千賀水產 Ten Million Japanese Restaurant,元朗,$101-200,日本菜,日式放題,120,
Granville Island Hong Kong,西環,$201-400,多國菜,海鮮,144,
Jan Jan 串揚專門店 Jan Jan Kushikatsu,灣仔,$201-400,日本菜,串燒,73,
Shelter Italian Bar & Restaurant,銅鑼灣,$201-400,意大利菜,麵包店,114,
Mr. Right,元朗,$101-200,意大利菜,海鮮,111,
Dream Cafe,旺角,$101-200,西式,薄餅,100,
安安燒 On On BBQ,筲箕灣,$101-200,港式,海鮮,134,
Add Some Thai Restaurant,觀塘,$101-200,泰國菜,包場派對,97,
明閣 Ming Court,旺角,$401-800,粵菜 (廣東),燒臘,216,
稻八日式火鍋炸物放題 Inahachi Shabu Shabu,大埔,$201-400,日本菜,火鍋,124,
Manecy's Studio Restaurant,銅鑼灣,$101-200,德國菜,西班牙菜,83,
