cn_name,alias,rating,comment_number,director,year,area,types
肖申克的救赎,The Shawshank Redemption,9.6,988856,导演: 弗兰克·德拉邦特 Frank Darabont   ,1994, 美国 , 犯罪 剧情
霸王别姬,再见，我的妾  /  Farewell My Concubine,9.5,718351,导演: 陈凯歌 Kaige Chen   ,1993, 中国大陆 香港 , 剧情 爱情 同性
这个杀手不太冷,Léon,9.4,932418,导演: 吕克·贝松 Luc Besson   ,1994, 法国 , 剧情 动作 犯罪
阿甘正传,Forrest Gump,9.4,792958,导演: Robert Zemeckis   ,1994, 美国 , 剧情 爱情
美丽人生,La vita è bella,9.5,463283,导演: 罗伯托·贝尼尼 Roberto Benigni   ,1997, 意大利 , 剧情 喜剧 爱情 战争
千与千寻,千と千尋の神隠し,9.2,741794,导演: 宫崎骏 Hayao Miyazaki   ,2001, 日本 , 剧情 动画 奇幻
泰坦尼克号,Titanic,9.2,732447,导演: 詹姆斯·卡梅隆 James Cameron   ,1997, 美国 , 剧情 爱情 灾难
辛德勒的名单,Schindler's List,9.4,422300,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   ,1993, 美国 , 剧情 历史 战争
盗梦空间,Inception,9.3,834715,导演: 克里斯托弗·诺兰 Christopher Nolan   ,2010, 美国 英国 , 剧情 科幻 悬疑 冒险
机器人总动员,WALL·E,9.3,547345,导演: 安德鲁·斯坦顿 Andrew Stanton   ,2008, 美国 , 爱情 科幻 动画 冒险
海上钢琴师,La leggenda del pianista sull'oceano,9.2,645345,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   ,1998, 意大利 , 剧情 音乐
三傻大闹宝莱坞,3 Idiots,9.2,748206,导演: 拉库马·希拉尼 Rajkumar Hirani   ,2009, 印度 , 剧情 喜剧 爱情 歌舞
忠犬八公的故事,Hachi: A Dog's Tale,9.2,514134,导演: 莱塞·霍尔斯道姆 Lasse Hallström   ,2009, 美国 英国 , 剧情
放牛班的春天,Les choristes,9.2,500329,导演: 克里斯托夫·巴拉蒂 Christophe Barratier   ,2004, 法国 瑞士 德国 , 剧情 音乐
大话西游之大圣娶亲,西遊記大結局之仙履奇緣,9.2,546039,导演: 刘镇伟 Jeffrey Lau   ,1995, 香港 中国大陆 , 喜剧 爱情 奇幻 冒险
教父,The Godfather,9.2,376533,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   ,1972, 美国 , 剧情 犯罪
龙猫,となりのトトロ,9.1,461754,导演: 宫崎骏 Hayao Miyazaki   ,1988, 日本 , 儿童 动画 奇幻 家庭
楚门的世界,The Truman Show,9.1,515863,导演: 彼得·威尔 Peter Weir   ,1998, 美国 , 剧情 科幻
熔炉,도가니,9.2,299136,导演: 黄东赫 Dong-hyuk Hwang   ,2011, 韩国 , 剧情
乱世佳人,Gone with the Wind,9.2,293599,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   ,1939, 美国 , 剧情 历史 爱情 战争
星际穿越,Interstellar,9.2,543646,导演: 克里斯托弗·诺兰 Christopher Nolan   ,2014, 美国 英国 加拿大 冰岛 , 剧情 科幻 冒险
触不可及,Intouchables,9.1,404734,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   ,2011, 法国 , 剧情 喜剧
无间道,無間道,9.0,445844,导演: 刘伟强 / 麦兆辉   ,2002, 香港 , 剧情 犯罪 悬疑
当幸福来敲门,The Pursuit of Happyness,8.9,592133,导演: 加布里尔·穆奇诺 Gabriele Muccino   ,2006, 美国 , 剧情 传记 家庭
天堂电影院,Nuovo Cinema Paradiso,9.1,332343,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   ,1988, 意大利 法国 , 剧情 爱情
怦然心动,Flipped,8.9,615340,导演: 罗伯·莱纳 Rob Reiner   ,2010, 美国 , 剧情 喜剧 爱情
十二怒汉,12 Angry Men,9.4,186840,导演: Sidney Lumet   ,1957, 美国 , 剧情
搏击俱乐部,Fight Club,9.0,427963,导演: 大卫·芬奇 David Fincher   ,1999, 美国 德国 , 剧情 动作 悬疑 惊悚
少年派的奇幻漂流,Life of Pi,9.0,627845,导演: 李安 Ang Lee   ,2012, 美国 台湾 英国 加拿大 , 剧情 奇幻 冒险
指环王3：王者无敌,The Lord of the Rings: The Return of the King,9.1,308464,导演: 彼得·杰克逊 Peter Jackson   ,2003, 美国 新西兰 , 剧情 动作 奇幻 冒险
鬼子来了,Devils on the Doorstep,9.2,253527,导演: 姜文 Wen Jiang   ,2000, 中国大陆 , 剧情 战争
蝙蝠侠：黑暗骑士,The Dark Knight,9.0,357157,导演: 克里斯托弗·诺兰 Christopher Nolan   ,2008, 美国 英国 , 剧情 动作 科幻 犯罪 惊悚
活着,人生  /  Lifetimes,9.1,298028,导演: 张艺谋 Yimou Zhang   ,1994, 中国大陆 香港 , 剧情 历史 家庭
天空之城,天空の城ラピュタ,9.0,361772,导演: 宫崎骏 Hayao Miyazaki   ,1986, 日本 , 动画 奇幻 冒险
罗马假日,Roman Holiday,8.9,417704,导演: 威廉·惠勒 William Wyler   ,1953, 美国 , 喜剧 剧情 爱情
大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,8.9,439828,导演: 刘镇伟 Jeffrey Lau   ,1995, 香港 中国大陆 , 喜剧 爱情 奇幻 冒险
飞屋环游记,Up,8.9,542706,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   ,2009, 美国 , 剧情 喜剧 动画 冒险
疯狂动物城,Zootopia,9.2,565471,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   ,2016, 美国 , 喜剧 动画 冒险
窃听风暴,Das Leben der Anderen,9.1,243533,"导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck   ...
   ",2006, 德国 , 剧情 悬疑
两杆大烟枪,"Lock, Stock and Two Smoking Barrels",9.1,291766,导演: Guy Ritchie   ,1998, 英国 , 剧情 喜剧 犯罪
飞越疯人院,One Flew Over the Cuckoo's Nest,9.0,295857,导演: 米洛斯·福尔曼 Miloš Forman   ,1975, 美国 , 剧情
控方证人,Witness for the Prosecution,9.6,105954,导演: 比利·怀尔德 Billy Wilder   ,1957, 美国 , 剧情 犯罪 悬疑
闻香识女人,Scent of a Woman,8.9,349772,导演: 马丁·布莱斯 Martin Brest   ,1992, 美国 , 剧情
海豚湾,The Cove,9.3,192948,导演: Louie Psihoyos   ,2009, 美国 , 纪录片
哈尔的移动城堡,ハウルの動く城,8.9,383484,导演: 宫崎骏 Hayao Miyazaki   ,2004, 日本 , 爱情 动画 奇幻 冒险
V字仇杀队,V for Vendetta,8.8,453834,导演: 詹姆斯·麦克特格 James McTeigue   ,2005, 美国 英国 德国 , 剧情 动作 科幻 惊悚
辩护人,변호인,9.1,229708,导演: 杨宇硕 Woo-seok Yang   ,2013, 韩国 , 剧情
死亡诗社,Dead Poets Society,8.9,301972,导演: 彼得·威尔 Peter Weir   ,1989, 美国 , 剧情
教父2,The Godfather: Part Ⅱ,9.1,202869,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   ,1974, 美国 , 剧情 犯罪
美丽心灵,A Beautiful Mind,8.9,327122,导演: 朗·霍华德 Ron Howard   ,2001, 美国 , 传记 剧情
指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,9.0,290403,导演: 彼得·杰克逊 Peter Jackson   ,2002, 美国 新西兰 , 剧情 动作 奇幻 冒险
指环王1：魔戒再现,The Lord of the Rings: The Fellowship of the Ring,8.9,324878,导演: 彼得·杰克逊 Peter Jackson   ,2001, 新西兰 美国 , 剧情 动作 奇幻 冒险
情书,Love Letter,8.8,403328,导演: 岩井俊二 Shunji Iwai   ,1995, 日本 , 剧情 爱情
饮食男女,飲食男女,9.1,217345,导演: 李安 Ang Lee   ,1994, 台湾 美国 , 剧情 家庭
美国往事,Once Upon a Time in America,9.1,187821,导演: 赛尔乔·莱翁内 Sergio Leone   ,1984, 意大利 美国 , 犯罪 剧情
狮子王,The Lion King,8.9,302825,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   ,1994, 美国 , 剧情 动画 冒险 歌舞 家庭
天使爱美丽,Le fabuleux destin d'Amélie Poulain,8.7,511884,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   ,2001, 法国 德国 , 喜剧 爱情
钢琴家,The Pianist,9.0,216096,导演: 罗曼·波兰斯基 Roman Polanski   ,2002, 法国 德国 英国 波兰 , 剧情 传记 历史 战争
七宗罪,Se7en,8.7,461422,导演: 大卫·芬奇 David Fincher   ,1995, 美国 , 剧情 犯罪 悬疑 惊悚
被嫌弃的松子的一生,嫌われ松子の一生,8.9,312195,导演: 中岛哲也 Tetsuya Nakashima   ,2006, 日本 , 剧情 歌舞
小鞋子,بچههای آسمان,9.2,149466,导演: 马基德·马基迪 Majid Majidi   ,1997, 伊朗 , 剧情 家庭 儿童
素媛,소원,9.1,199184,导演: 李濬益 Jun-ik Lee   ,2013, 韩国 , 剧情
致命魔术,The Prestige,8.8,368327,导演: 克里斯托弗·诺兰 Christopher Nolan   ,2006, 美国 英国 , 剧情 悬疑 惊悚
摔跤吧！爸爸,Dangal,9.1,495927,导演: 涅提·蒂瓦里 Nitesh Tiwari   ,2016, 印度 , 剧情 传记 运动 家庭
勇敢的心,Braveheart,8.8,310551,导演: 梅尔·吉布森 Mel Gibson   ,1995, 美国 , 动作 传记 剧情 历史 战争
音乐之声,The Sound of Music,8.9,246832,导演: Robert Wise   ,1965, 美国 , 剧情 传记 爱情 歌舞
剪刀手爱德华,Edward Scissorhands,8.7,514579,导演: Tim Burton   ,1990, 美国 , 剧情 奇幻 爱情
本杰明·巴顿奇事,The Curious Case of Benjamin Button,8.7,417860,导演: 大卫·芬奇 David Fincher   ,2008, 美国 , 剧情 爱情 奇幻
低俗小说,Pulp Fiction,8.8,357238,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   ,1994, 美国 , 剧情 喜剧 犯罪
看不见的客人,Contratiempo,8.8,355488,导演: 奥里奥尔·保罗 Oriol Paulo   ,2016, 西班牙 , 剧情 犯罪 悬疑 惊悚
西西里的美丽传说,Malèna,8.7,376163,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   ,2000, 意大利 美国 , 剧情 战争 情色
黑客帝国,The Matrix,8.8,300330,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   ,1999, 美国 澳大利亚 , 动作 科幻
拯救大兵瑞恩,Saving Private Ryan,8.9,256021,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   ,1998, 美国 , 剧情 历史 战争
沉默的羔羊,The Silence of the Lambs,8.7,376238,导演: 乔纳森·戴米 Jonathan Demme   ,1991, 美国 , 剧情 犯罪 惊悚
入殓师,おくりびと,8.8,333527,导演: 泷田洋二郎 Yôjirô Takita   ,2008, 日本 , 剧情
蝴蝶效应,The Butterfly Effect,8.7,406111,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   ,2004, 美国 加拿大 , 剧情 悬疑 科幻 惊悚
玛丽和马克思,Mary and Max,8.9,241724,导演: 亚当·艾略特 Adam Elliot   ,2009, 澳大利亚 , 剧情 动画
让子弹飞,让子弹飞一会儿  /  火烧云,8.7,662582,导演: 姜文 Wen Jiang   ,2010, 中国大陆 香港 , 剧情 喜剧 动作 西部
春光乍泄,春光乍洩,8.8,263608,导演: 王家卫 Kar Wai Wong   ,1997, 香港 日本 韩国 , 剧情 爱情 同性
大闹天宫,大闹天宫 上下集  /  The Monkey King,9.2,108433,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   ,2004(中国大陆), 中国大陆 , 动画 奇幻
心灵捕手,Good Will Hunting,8.8,288695,导演: 格斯·范·桑特 Gus Van Sant   ,1997, 美国 , 剧情
幽灵公主,もののけ姫,8.8,249500,导演: 宫崎骏 Hayao Miyazaki   ,1997, 日本 , 动作 爱情 战争 动画 奇幻 冒险
阳光灿烂的日子,In the Heat of the Sun,8.8,286929,导演: 姜文 Wen Jiang   ,1994, 中国大陆 香港 , 剧情
第六感,The Sixth Sense,8.8,247882,导演: M·奈特·沙马兰 M. Night Shyamalan   ,1999, 美国 , 剧情 悬疑 惊悚
末代皇帝,The Last Emperor,8.9,182367,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   ,1987, 意大利 中国大陆 英国 法国 , 剧情 传记 历史
重庆森林,重慶森林,8.7,351108,导演: 王家卫 Kar Wai Wong   ,1994, 香港 , 剧情 爱情
禁闭岛,Shutter Island,8.6,381479,导演: Martin Scorsese   ,2010, 美国 , 剧情 悬疑 惊悚
大鱼,Big Fish,8.7,266718,导演: 蒂姆·波顿 Tim Burton   ,2003, 美国 , 剧情 家庭 奇幻 冒险
狩猎,Jagten,9.0,138639,导演: 托马斯·温特伯格 Thomas Vinterberg   ,2012, 丹麦 瑞典 , 剧情
布达佩斯大饭店,The Grand Budapest Hotel,8.8,334210,导演: 韦斯·安德森 Wes Anderson   ,2014, 美国 德国 英国 , 剧情 喜剧
射雕英雄传之东成西就,射鵰英雄傳之東成西就,8.7,291094,导演: 刘镇伟 Jeffrey Lau   ,1993, 香港 , 喜剧 古装
甜蜜蜜,Comrades: Almost a Love Story,8.8,244075,导演: 陈可辛 Peter Chan   ,1996, 香港 , 剧情 爱情
致命ID,Identity,8.6,337239,导演: James Mangold   ,2003, 美国 , 剧情 悬疑 惊悚
哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,8.7,276013,导演: Chris Columbus   ,2001, 美国 英国 , 奇幻 冒险
一一,Yi yi  /  Yi yi: A One and a Two,8.9,164108,导演: 杨德昌 Edward Yang   ,2000, 台湾 日本 , 剧情 爱情 家庭
阳光姐妹淘,써니,8.8,284029,导演: 姜炯哲 Hyeong-Cheol Kang   ,2011, 韩国 , 剧情 喜剧
断背山,Brokeback Mountain,8.6,337550,导演: 李安 Ang Lee   ,2005, 美国 加拿大 , 剧情 爱情 同性 家庭
告白,自白  /  母亲,8.7,360738,导演: 中岛哲也 Tetsuya Nakashima   ,2010, 日本 , 剧情 惊悚
上帝之城,Cidade de Deus,8.9,164465,导演: Kátia Lund / Fernando Meirelles   ,2002, 巴西 法国 , 犯罪 剧情
猫鼠游戏,Catch Me If You Can,8.7,242675,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   ,2002, 美国 加拿大 , 传记 犯罪 剧情
加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,8.6,365175,导演: 戈尔·维宾斯基 Gore Verbinski   ,2003, 美国 , 动作 冒险 奇幻
摩登时代,Modern Times,9.2,95048,导演: 查理·卓别林 Charles Chaplin   ,1936, 美国 , 喜剧 剧情 爱情
阿凡达,Avatar,8.6,554353,导演: 詹姆斯·卡梅隆 James Cameron   ,2009, 美国 英国 , 动作 科幻 冒险
穿条纹睡衣的男孩,The Boy in the Striped Pajamas,8.9,157086,导演: 马克·赫门 Mark Herman   ,2008, 英国 美国 , 剧情 战争
爱在黎明破晓前,Before Sunrise,8.7,232884,导演: 理查德·林克莱特 Richard Linklater   ,1995, 美国 奥地利 瑞士 , 剧情 爱情
风之谷,風の谷のナウシカ,8.8,185214,导演: 宫崎骏 Hayao Miyazaki   ,1984, 日本 , 科幻 动画 奇幻 冒险
消失的爱人,Gone Girl,8.7,376281,导演: 大卫·芬奇 David Fincher   ,2014, 美国 , 剧情 犯罪 悬疑 惊悚
爱在日落黄昏时,Before Sunset,8.7,208492,导演: 理查德·林克莱特 Richard Linklater   ,2004, 美国 , 剧情 爱情
侧耳倾听,耳をすませば,8.8,177815,导演: 近藤喜文 Yoshifumi Kondo   ,1995, 日本 , 剧情 爱情 动画 音乐
超脱,Detachment,8.8,181396,导演: 托尼·凯耶 Tony Kaye   ,2011, 美国 , 剧情
倩女幽魂,倩女幽魂(87版)  /  A Chinese Ghost Story,8.6,267771,导演: 程小东 Siu-Tung Ching   ,1987, 香港 , 剧情 爱情 武侠 古装
红辣椒,パプリカ,8.9,142444,导演: 今敏 Satoshi Kon   ,2006, 日本 , 动画 悬疑 科幻 惊悚
萤火虫之墓,火垂るの墓,8.7,212885,导演: 高畑勋 Isao Takahata   ,1988, 日本 , 动画 剧情 战争
恐怖直播,더 테러 라이브,8.7,234645,导演: 金秉祐 Byeong-woo Kim   ,2013, 韩国 , 剧情 犯罪 悬疑
驯龙高手,How to Train Your Dragon,8.7,299034,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   ,2010, 美国 , 喜剧 动画 奇幻 冒险 家庭
菊次郎的夏天,菊次郎の夏,8.7,191086,导演: 北野武 Takeshi Kitano   ,1999, 日本 , 剧情 喜剧
幸福终点站,The Terminal,8.6,234378,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   ,2004, 美国 , 喜剧 剧情 爱情
岁月神偷,歲月神偷,8.6,318329,导演: 罗启锐 Alex Law   ,2010, 香港 中国大陆 , 剧情 家庭
借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,8.7,227271,导演: 米林宏昌 Hiromasa Yonebayashi   ,2010, 日本 , 动画 奇幻 冒险
神偷奶爸,Despicable Me,8.5,396579,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   ,2010, 美国 法国 , 喜剧 动画 冒险
七武士,七人の侍,9.2,80529,导演: 黑泽明 Akira Kurosawa   ,1954, 日本 , 动作 冒险 剧情
小森林 夏秋篇,リトル・フォレスト 夏・秋,8.9,138805,导演: 森淳一 Junichi Mori   ,2014, 日本 , 剧情
喜剧之王,喜劇之王,8.5,331541,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   ,1999, 香港 , 喜剧 剧情 爱情
